i,tret,h,w,a,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,y_68,y_69,y_70,y_71,y_72,y_73,y_74,y_75,y_76,y_77,y_78,y_79,y_80,y_81,y_82,y_83,y_84,y_85,y_86,y_87,y_88,y_89,y_90,y_91,y_92,y_93,y_94,y_95,y_96,y_97,y_98,y_99,y_100
1,16.918863091361604,4.524490006548712,1.3755472682658683,1,6.37960556928004e-33,5.45505220379246e-31,4.076216380994067e-29,2.661759330750481e-27,1.518915369697879e-25,7.574458746050041e-24,3.3008278033337297e-22,1.2570349978374458e-20,4.1833587155765703e-19,1.2166231593899519e-17,3.0920057214452377e-16,6.867168988385203e-15,1.3328105349976968e-13,2.2605407243797333e-12,3.350498981353989e-11,4.3397017315165867e-10,4.912058257002157e-09,4.858703225418017e-08,4.199818022357122e-07,3.172442865506716e-06,2.094162517952002e-05,0.00012080368752908179,0.0006089802901659251,0.0026827457688701636,0.010327828954917736,0.034744958011371514,0.10214750940167128,0.2624321322583805,0.5891955695868667,1.1559929149558061,1.9820020914367138,2.9696569339071575,3.8883172284690835,4.449081226756817,4.448690742423006,3.8872935157318893,2.968353967162687,1.9807847256853792,1.1550801089295226,0.5886269852895438,0.26213286103887085,0.10201311365569636,0.03469315332078928,0.010310620063248947,0.002677805495640784,0.000607752157954774,0.00012053890084311374,2.089205597079033e-05,3.1643781037128282e-06,4.188406231549104e-07,4.844650587799264e-08,4.8969915969959726e-09,4.325631250589132e-10,3.339049565326632e-11,2.2524205129966627e-12,1.3277897697018572e-13,6.8400991787290735e-15,3.0792767003158716e-16,1.2114019521908568e-17,4.164674453069416e-19,1.2512010058622269e-20,3.284931722655505e-22,7.536658652650034e-24,1.511069990947658e-25,2.6475462291184136e-27,4.053738781083349e-29,5.4240190193823275e-31,6.342199280365727e-33,6.480549028936091e-35,5.78677975744421e-37,4.515598736904085e-39,3.079264311011722e-41,1.8349820929117828e-43,9.555863307389388e-46,4.3487181733340326e-48,1.7294413330804687e-50,6.010403677011201e-53,1.8253858729692934e-55,4.844611603495727e-58,1.123612291153882e-60,2.2773366416531614e-63,4.0335850881054157e-66,6.243217254974733e-69,8.444596629444565e-72,9.981656204151661e-75,1.0310495611074604e-77,9.306999964786673e-81,7.341640579072379e-84,5.060923380330683e-87,3.048734756772741e-90,1.6049546219611239e-93,7.383446119890553e-97,2.968306195401054e-100,1.0428252143897884e-103,3.2016037840023057e-107,8.589677966541844e-111,2.013907020968266e-114,4.126246663293176e-118,7.387954169242727e-122,1.1559696597664565e-125
2,19.691853167952438,5.5003347365017285,10.921111373006383,1,1.0824474128786767,1.1753197579405341,1.2734340888058224,1.3767912903361919,1.4853573605743706,1.5990608833106672,1.717790713667585,1.8413939242629118,1.969674059162712,2.1023897416243855,2.239253679515471,2.379932109252339,2.524044715129122,2.6711650560163007,2.8208215256363887,2.972498866029285,3.125640246481609,3.279649912213621,3.4338963986148348,3.5877162979341555,3.740418556217038,3.8912892691084755,4.039596936083891,4.184598123913217,4.325543481891381,4.461684043762931,4.5922777445046625,4.716596074370865,4.83393078799864,4.943600583042803,5.0449576608648705,5.137394081315148,5.220347824668432,5.29330847631804,5.355822453883547,5.407497701895241,5.448007786101616,5.477095327592694,5.494574726200728,5.50033413286409,5.494336641631032,5.476620683531138,5.447299616433697,5.406560517016599,5.354662192856127,5.2919324441899125,5.218764615882697,5.1356134903312425,5.042990581292295,4.941458896739746,4.83162724571352,4.714144169601596,4.589691582317036,4.458978206345332,4.3227328926280615,4.181697911733226,4.036622301788732,3.8882553553005503,3.7373403223451667,3.5846084018449194,3.4307730858521137,3.2765249141471484,3.122526688172096,2.969409184556548,2.817767399431565,2.668157345553421,2.521093415148465,2.3770463125114256,2.236441551896232,2.0996585082696013,1.9670300011735347,1.8388423853638984,1.7153361161377065,1.5967067523890304,1.4831063564785016,1.3746452469787394,1.2713940582621432,1.1733860597041526,1.0806196869430942,0.9930612381112621,0.9106476891624663,0.833289584290743,0.7608739598772757,0.6932672633272361,0.6303182314718635,0.571860696820221,0.5177162937581297,0.4676970407209924,0.4216077783302342,0.3792484474043013,0.3404161945668899,0.3049072968181463,0.2725188998590616,0.2430505681244742,0.21630564735471056,0.1920924430976381,0.17022522076818014,0.15052503479552548,0.13282039596106623,0.11694778728063564
3,7.008715867036662,2.867280055993244,7.641526838984084,1,1.8827755664833112,1.9960745095752375,2.10696746106741,2.214327194448883,2.3170139248673656,2.4138950214440125,2.503865517658455,2.585868909411683,2.658917698989523,2.722113129662199,2.7746635613079222,2.815900962684097,2.845295040383456,2.862464586844986,2.8671857079656577,2.8593966820702685,2.83919930282386,2.806856665240192,2.762787462103873,2.7075569636600245,2.6418649522361304,2.5665309717676976,2.4824773267197924,2.39071032299216,2.292300283185524,2.1883608890393322,2.0800284047322988,1.9684413167120558,1.8547208902154138,1.7399530917658508,1.6251722633556054,1.5113468608072984,1.3993674892777077,1.2900373864027872,1.184065421491031,1.0820616005219386,0.9845349942095297,0.891893942302475,0.8044483333416323,0.7224137164490371,0.6459169709772659,0.5750032410560846,0.5096438347875998,0.4497447911845674,0.39515583069411986,0.3456794258194439,0.30107975530119857,0.2610913368347428,0.22542716767925491,0.19378623815029225,0.16586031841797508,0.14133995299450494,0.11991962874968787,0.10130211044627518,0.08520196208721732,0.07134829249712507,0.05948677941697865,0.04938103805755552,0.040813407770626815,0.03358523461496752,0.027516728558852302,0.022446472365966388,0.018230655373108026,0.01474209989676073,0.011869141386746709,0.009514416121655564,0.007593602601797878,0.006034155169770557,0.004774061041830854,0.003760645068215299,0.002949440301459584,0.0023031369295178107,0.001790617369516579,0.0013860813240924987,0.001068261350412126,0.0008197269339359896,0.0006262731304140829,0.0004763884662784999,0.0003607958907862436,0.0002720600740218684,0.00020425416741407692,0.00015267921756342292,0.0001136296869285908,8.419893137969557e-05,6.211896830816891e-05,4.56294016553412e-05,3.337092143595786e-05,2.4299341706112857e-05,1.7616665293741693e-05,1.2716154120053908e-05,9.138833138831217e-06,6.539259888879451e-06,4.65874921766628e-06,3.304554759391818e-06,2.3337775513657755e-06,1.6410010095445052e-06,1.1488441667987648e-06,8.007856532252784e-07,5.557434197121679e-07,3.8400356788901123e-07
4,15.509219945693166,8.086455602017661,7.623266887177009,1,1.0208951756761893,1.1656403016910064,1.3250789155962523,1.499728755031888,1.6899641010676003,1.8959899278146204,2.1178166502193596,2.3552362486637675,2.6078006009482975,2.874802879786407,3.155262873046179,3.447917051424921,3.7512141419221194,4.063316864593166,4.382110355329134,4.7052176311389315,5.0300222605822755,5.353698186188338,5.673246414927665,5.985538055342076,6.2873629449457145,6.575482888676087,6.846688328257601,7.097857092699821,7.326013750260698,7.528387999184427,7.702470503735193,7.846064606751196,7.95733243105547,8.034834018032134,8.077558338494553,8.084945242288878,8.056897680471701,7.993783827251984,7.896429036838235,7.766097880827954,7.604466812641387,7.4135882850202375,7.195847394086472,6.953912329705974,6.690680069677803,6.409218859562805,6.112709068192083,5.8043840009541725,5.48747219115702,5.165142578618131,4.840453830589393,4.516308871136368,4.195415470212583,3.8802535125495736,3.5730493288966936,3.2757572375248545,2.9900482209354005,2.7173054589649386,2.458626261152698,2.214829792989496,1.9864698755069472,1.7738520569629117,1.5770541089493355,1.395949085502833,1.230230099953113,1.0794360165677939,0.9429773181324856,0.8201614916241483,0.7102173671320428,0.6123179452894553,0.5256013511397294,0.4491896534818367,0.38220538482677135,0.323785685321291,0.273094072240974,0.2293299035036736,0.19173565835537684,0.159602200781878,0.13227222166707783,0.1091420750387214,0.08966223302159997,0.07333658468303961,0.05972079725761526,0.04841994576992027,0.03908560029698974,0.03141254039722275,0.025135244819045534,0.020024282566448823,0.015882709637742326,0.012542554982898666,0.009861459979658838,0.007719518378749867,0.006016348434935211,0.004668415916170573,0.003606615855617286,0.0027741121859411037,0.0021244276167230163,0.001619771087563423,0.001229586631691129,0.0009293052887792076,0.000699280585164363,0.0005238878403416363,0.00039076796394266655,0.00029019730275737506
5,6.9231088566826715,3.059419593252937,5.868881713940941,1,1.525712890640511,1.6824866060418786,1.841680180126691,2.00106230857046,2.158195625992108,2.3104937761373256,2.455288878706881,2.589907117355768,2.7117495721193174,2.8183749505504565,2.907580575846213,2.9774778973672893,3.026558915770555,3.0537502623799226,3.058452224911489,3.040560738023987,3.0004712125580206,2.9390640066848763,2.8576722845125753,2.758033900955614,2.642229737765363,2.5126115449846465,2.37172277752544,2.222216135871277,2.066771517168736,1.9080178684260272,1.748462032016738,1.590427121928811,1.4360023122719385,1.2870052068138043,1.1449572392642224,1.0110718744995673,0.8862547798752652,0.7711146429525493,0.6659829465438812,0.5709407822392314,0.48585068749932675,0.41039151806683527,0.3440944989580184,0.286378811054374,0.2365853413468212,0.19400752805621502,0.15791854374472145,0.1275943599013536,0.10233250923629549,0.08146659557895859,0.06437678901751041,0.050496683215000324,0.0393169838355762,0.030386545739340347,0.023311288096147978,0.01775149803396732,0.013417992488072595,0.010067551939776254,0.0074979754146531725,0.005543039124715985,0.004067575985881204,0.002962833211021546,0.002142212416812016,0.001537452330606049,0.0010952785557920735,0.0007745176323511521,0.0005436530543105724,0.0003787879494543697,0.00026197163750524396,0.00017984409968689006,0.0001225524258200582,8.289559038909301e-05,5.565763450625539e-05,3.709384550632154e-05,2.4539334005783274e-05,1.611415302899757e-05,1.0503547266901454e-05,6.795920713294441e-06,4.364599628765905e-06,2.782430454226598e-06,1.7607107814989579e-06,1.1059500887292385e-06,6.895516956310097e-07,4.267582567658847e-07,2.621686953571982e-07,1.5986873261708565e-07,9.676761336957478e-08,5.814070941549608e-08,3.4674836502868974e-08,2.0527323003119473e-08,1.2062407860571862e-08,7.035897445267117e-09,4.073697635235773e-09,2.3412181378692637e-09,1.3356072499977131e-09,7.563093237763542e-10,4.2511256320619473e-10,2.371877327567706e-10,1.313603529091618e-10,7.221379820945666e-11,3.940577455161829e-11,2.1344370325705523e-11,1.1476002259211514e-11,6.124656008419417e-12
6,8.987394950118818,4.65820862772241,13.666504533864302,1,3.7524072544972076,3.842093404067668,3.9285542544768113,4.0114785718971495,4.090562973404631,4.165513765646531,4.236048754262828,4.301899008534675,4.3628105658699,4.418546061043578,4.468886265590938,4.513631523396964,4.5526030693365875,4.585644218783442,4.612621416913888,4.633425137974089,4.647970626037443,4.656198470241798,4.658075009043154,4.65359255963668,4.64276947035694,4.625649995557225,4.602303994161935,4.572826454765446,4.53733685179511,4.495978338845074,4.448916786802179,4.396339675807267,4.3384548514079935,4.275489156447695,4.207686951285632,4.135308535845731,4.058628487734746,3.977933931249549,3.893522752502592,3.8057017761322305,3.71478491913079,3.6210913372203755,3.524943578939341,3.426665762177728,3.32658178732676,3.225013600496175,3.1222795194160295,3.018692633690033,2.914559290020389,2.8101776718948064,2.7058364820312386,2.6018137346314156,2.498375663217101,2.3957757485297195,2.294253869680784,2.1940355804628564,2.095331511483505,1.998336897581474,1.9032312288378046,1.810178022416167,1.7193247114661476,1.6308026464091092,1.5447272031053794,1.4611979916792952,1.380299159158735,1.3020997785704844,1.2266543167227508,1.1540031726006714,1.0841732780976865,1.017178752701829,0.9530216037468978,0.891692463918681,0.8331713578696103,0.7774284900344062,0.724425046046883,0.6741140005260674,0.6264409244199138,0.5813447855586813,0.538758736569093,0.4986108848263362,0.46082503966572974,0.4253214326316658,0.39201740710087013,0.36082807417325685,0.33166693227033867,0.30444644841258717,0.27907859965823767,0.25547537367239004,0.23354922785311646,0.21321350686760457,0.1943828188437186,0.17697337081899636,0.160903264368888,0.1460927526183822,0.13246446008607063,0.11994356701758759,0.10845796003716802,0.09793835108305253,0.08831836669627184,0.07953460980485637,0.07152669618887164,0.0642372678281775,0.05761198532687624,0.05159950157855065
7,6.348589185704872,6.105351945275195,13.98528879041307,1,5.507614082352289,5.594997216494608,5.676359121475033,5.751398617615914,5.819835234418418,5.881410955516604,5.935891838376134,5.983069494516983,6.022762417158171,6.054817144450101,6.079109247863284,6.095544136825576,6.104057672326568,6.104616583918991,6.097218686323189,6.081892893661249,6.058699031191043,6.02772744625563,5.989098421988497,5.942961399098885,5.8894940127829045,5.828900953445771,5.761412661459367,5.687283867600339,5.60679199210147,5.520235416389285,5.427931642562302,5.330215356477261,5.227436410948182,5.119957746020068,5.008153263553393,4.892405673446912,4.7731043287373325,4.650643066549523,4.525418071437001,4.397825777058344,4.268260821391421,4.137114069806511,4.004770719314993,3.8716084961975743,3.737995958010819,3.604290909689755,3.470838942124727,3.337972100209777,3.2060076859549276,3.0752472008429055,2.945975430208447,2.8184596710412357,2.6929491032765434,2.569674303354424,2.448846897611516,2.3306593519300387,2.215284893016311,2.1028775557239694,1.9935723499817521,1.8874855401370116,1.7847150288874916,1.6853408374470735,1.5894256731764285,1.4970155756057033,1.408140631580939,1.3228157501752111,1.2410414880145555,1.1628049157718505,1.0880805167721692,1.01683110892343,0.9490087815283834,0.8845558389397741,0.823405743481283,0.765484050563733,0.7107093294703128,0.6589940638575467,0.6102455266119439,0.5643666243076269,0.5212567071200365,0.4808123406578495,0.44292803677288783,0.4074969409899885,0.37441147476018216,0.34356393127634294,0.3148470240967299,0.28815438829515666,0.26338103429426724,0.2404237549385309,0.21918148672474028,0.19955562642922578,0.18145030465247544,0.1647726180436719,0.14943282217060275,0.13534448716565237,0.12242461840768176,0.11059374459441468,0.09977597562257516,0.08989903272578506,0.08089425332558722,0.07269657303148912,0.0652444871842437,0.05847999427535315,0.05234852349761878,0.046798848589037864
8,9.224240306293506,5.597776712551297,14.264410131101274,1,4.541621748423286,4.643894103125563,4.742520526504975,4.837173839612548,4.9275352108767905,5.013295935772213,5.0941591868376745,5.169841720223476,5.240075525081331,5.30460940238695,5.3632104602004285,5.415665512922327,5.461782372788816,5.501391022661777,5.5343446601012305,5.560520603748875,5.579821054191973,5.592173702704152,5.597532182560786,5.595876358986945,5.587212455200561,5.571573013446665,5.549016691364083,5.519627895467807,5.483516254951901,5.440815940403505,5.391684833352694,5.33630355385094,5.274874354458865,5.20761989011907,5.134781874380639,5.056619633318301,4.973408569242635,4.885438546921186,4.79301221551869,4.69644327981426,4.59605473446274,4.492177075136393,4.385146500313643,4.275303117277042,4.16298916554818,4.048547270529378,3.932318739548813,3.8146419118261967,3.695850573100731,3.5762724448028993,3.4562277567186546,3.336027911101226,3.2159742451449365,3.096356897660161,2.9774537846918885,2.859529687719096,2.7428354569709605,2.6276073313106902,2.5140663750799352,2.402418031276944,2.292851789469518,2.1855409659282343,2.0806425926139305,1.978297410872724,1.8786299649872589,1.7817487901086322,1.6877466885526835,1.5967010879888375,1.5086744746802954,1.423714894650716,1.3418565154532407,1.2631202411005182,1.1875143726760615,1.115035307183843,1.0456682672998807,0.9793880548613987,0.9161598211602692,0.8559398473917368,0.798676328940522,0.7443101575577515,0.6927756958871496,0.6440015392309486,0.5979112598985378,0.5544241299476734,0.5134558186030633,0.4749190611145711,0.438724296291837,0.40478027041880055,0.3729946057059843,0.343274331876437,0.31552637989943033,0.28965803728134043,0.26557736469316995,0.24319357405681122,0.2224173685259845,0.2031612450817007,0.18533976071554106,0.16886976339681276,0.1536705892119331,0.13966422722677072,0.1267754537559766,0.11493193782870534,0.10406431971893701,0.09410626446237791
9,7.8643722406295025,5.353272661569217,13.659643529579286,1,4.535662305392665,4.630083299342612,4.720012896468532,4.805115762451193,4.885070249792219,4.9595704173198225,5.028327976531746,5.091074147485567,5.147561407542044,5.197565117055409,5.240885007078383,5.277346515299846,5.306801957747139,5.329131525248608,5.344244095248416,5.352077851276185,5.3526007041783945,5.345810511094871,5.331735090089275,5.310432030293838,5.281988299381536,5.246519652109664,5.204169845563617,5.155109668545674,5.099535794278859,5.037669467209817,4.9697550361783485,4.89605834755762,4.8168650131434125,4.732478568570509,4.643218538849578,4.549418428241253,4.451423652111024,4.349589428637072,4.244278648274166,4.135859738713644,4.0247045427283865,3.911186225760975,3.7956772294135104,3.678547286141704,3.560161509458074,3.4408785728255524,3.321048989190695,3.2010135017830685,3.0811015954133127,2.96163013605574,2.842902145021653,2.7252057125356712,2.6088130540378276,2.4939797110668662,2.3809438971517216,2.269925987764236,2.1611281520810146,2.0547341230785685,1.9509091013546667,1.8497997870393534,1.7515345332390102,1.656223613651775,1.5639595963065431,1.4748178148127433,1.3888569280645542,1.3061195590199375,1.2266330029690828,1.1504099956144156,1.0774495312997927,1.0077377218433523,0.9412486866392238,0.8779454649896576,0.8177809420021883,0.7606987798269117,0.7066343465071357,0.6555156352628776,0.6072641676111279,0.5617958743399738,0.5190219489862403,0.4788496691094448,0.44118318130013406,0.40592424650036485,0.3729729428410078,0.34222832380832735,0.31358903013521533,0.2869538543656359,0.2622222575601781,0.2392948380927174,0.21807375293053324,0.19846309219090869,0.18036920812516954,0.16370099999574658,0.1483701565833345,0.1342913582902163,0.1213824409934914,0.10956452394987623,0.09876210416391636,0.08890311970610547,0.07991898450908437,0.0717445971814822,0.06431832636289994,0.05758197510292555,0.05148072668485608,0.04596307423389003
10,15.366185372374794,4.810590382513562,11.318545421755013,1,1.914134517357031,2.031650849998675,2.152092723531176,2.2751402284008337,2.400438842558588,2.5276003529255,2.6562041726281023,2.785799059647028,2.915905237096774,3.0460169096383005,3.1756051646091645,3.304121240436218,3.4310001388788716,3.555664551746497,3.6775290670543703,3.7960046142415744,3.9105031031819992,4.020442207381771,4.125250238071592,4.224371052958973,4.317268941279905,4.403433425544262,4.482383920050617,4.553674186883126,4.6168965317060495,4.6716856842317585,4.717722311727521,4.754736118297964,4.7825084878681405,4.8008746347140185,4.809725231944328,4.809007495418253,4.798725708063891,4.77894117731084,4.749771626228829,4.711390026832268,4.664022891727515,4.607948047708442,4.543491921915474,4.471026377642125,4.390965142690722,4.303759878249625,4.209895940507265,4.109887890571099,4.004274810677591,3.893615486137603,3.778483512954091,3.6594623905892734,3.537140657977841,3.4121071286303617,3.2849462776112595,3.1562338293870287,3.026532591113008,2.896388570960579,2.766327415687844,2.636851195936694,2.508435561810716,2.3815272852640703,2.2565421998206125,2.133863542249572,2.013840695146042,1.8967883239896393,1.7829858972609287,1.6726775736489852,1.5660724363390497,1.4633450508681345,1.3646363201072689,1.2700546075877834,1.1796770986392173,1.093551367640176,1.011697119082103,0.9341080700812704,0.8607539424098365,0.7915825330089838,0.7265218332470134,0.6654821688395105,0.6083583343015868,0.5550316979964645,0.5053722562232179,0.45924061729324805,0.41648989912638396,0.3769675265027869,0.3405169166895362,0.3069790446789139,0.27619388169203435,0.24800170288500714,0.2222442623192089,0.1987658352018966,0.17741412915318983,0.15804106780041383,0.14050345133584038,0.12466349979836215,0.11038928575699554,0.09755506379124747,0.08604150469020802,0.07573584264114272,0.0665319438636572,0.058330305182930545,0.05103799094174392,0.04456851644319434
